Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
672202,672202,7.7801157407407411,1,0.48941713644195783
699842,699842,8.1000231481481482,1,0.50333640333505092
728618,728618,8.4330787037037034,1,0.51742472708542087
758578,758578,8.7798379629629633,1,0.53166825591972855
789769,789769,9.1408449074074074,1,0.54605053372826773
822243,822243,9.5167013888888885,1,0.5605553072820374
856052,856052,9.9080092592592592,1,0.57516415343734728
891251,891251,10.315405092592593,1,0.58985783917045143
927897,927897,10.739548611111111,1,0.60461585353375935
966051,966051,11.181145833333334,1,0.61941718710201676
1005773,1005773,11.640891203703704,1,0.63423839231304124
1047129,1047129,12.119548611111112,1,0.64905631977673561
1090184,1090184,12.617870370370371,1,0.66384554768279791
1135011,1135011,13.136701388888889,1,0.6785815967068729
1181680,1181680,13.676851851851852,1,0.69323723754900335
1230269,1230269,14.239224537037037,1,0.70778621820948473
1280855,1280855,14.824710648148148,1,0.72220049776239004
1333521,1333521,15.434270833333333,1,0.73645250137237595
1388353,1388353,16.068900462962961,1,0.75051430353134974
1445440,1445440,16.729629629629631,1,0.76435779921424829
1504874,1504874,17.417523148148149,1,0.7779548973113144
1566751,1566751,18.13369212962963,1,0.79127794311007904
1631173,1631173,18.87931712962963,1,0.80430027614304223
1698244,1698244,19.655601851851852,1,0.81699555726068729
1768072,1768072,20.463796296296298,1,0.82933844326885564
1840772,1840772,21.305231481481481,1,0.84130527970085123
1916461,1916461,22.181261574074075,1,0.85287341764513047
1995262,1995262,23.093310185185185,1,0.86402211240640536
2077304,2077304,24.04287037037037,1,0.87473265163548264
2162719,2162719,25.031469907407409,1,0.88498814643154688
2251645,2251645,26.06070601851852,1,0.89477413310684262
2344229,2344229,27.132280092592591,1,0.90407898361860362
2440619,2440619,28.247905092592593,1,0.912893190713715
2540973,2540973,29.409409722222222,1,0.92121040000288312
2645453,2645453,30.618668981481481,1,0.92902689828476437
2754229,2754229,31.877650462962961,1,0.93634200653580557
