"Task","Variant","ValueName","BinCenter","Density"
"SOH","Base","Weight","-2.1642816083333334","0.030053129369795362"
"SOH","Base","Weight","-2.1065674321111114","0.035104075482366014"
"SOH","Base","Weight","-2.048853255888889","0.041165210817450788"
"SOH","Base","Weight","-1.9911390796666668","0.044953420401878774"
"SOH","Base","Weight","-1.9334249034444446","0.054297670710134478"
"SOH","Base","Weight","-1.8757107272222222","0.060106258739590725"
"SOH","Base","Weight","-1.8179965510000002","0.056318049155162739"
"SOH","Base","Weight","-1.7602823747777778","0.073996360549160006"
"SOH","Base","Weight","-1.7025681985555556","0.079552401272987724"
"SOH","Base","Weight","-1.6448540223333334","0.088896651581243422"
"SOH","Base","Weight","-1.5871398461111113","0.10177656416829858"
"SOH","Base","Weight","-1.5294256698888891","0.11339374022721108"
"SOH","Base","Weight","-1.4717114936666666","0.12122270670169558"
"SOH","Base","Weight","-1.4139973174444445","0.13006186239869422"
"SOH","Base","Weight","-1.3562831412222223","0.13637554503940752"
"SOH","Base","Weight","-1.2985689650000001","0.15506404565591891"
"SOH","Base","Weight","-1.2408547887777779","0.18739010077637108"
"SOH","Base","Weight","-1.1831406125555557","0.19698689839025532"
"SOH","Base","Weight","-1.1254264363333335","0.21744323014616643"
"SOH","Base","Weight","-1.0677122601111111","0.2303231427332216"
"SOH","Base","Weight","-1.0099980838888889","0.24421324454279089"
"SOH","Base","Weight","-0.95228390766666671","0.25835589365798872"
"SOH","Base","Weight","-0.89456973144444452","0.26770014396624442"
"SOH","Base","Weight","-0.83685555522222232","0.29522780027975443"
"SOH","Base","Weight","-0.77914137900000013","0.30002619908669653"
"SOH","Base","Weight","-0.72142720277777772","0.3174519631750653"
"SOH","Base","Weight","-0.66371302655555553","0.3394235787647476"
"SOH","Base","Weight","-0.60599885033333334","0.3502831129067745"
"SOH","Base","Weight","-0.54828467411111115","0.36215283627131556"
"SOH","Base","Weight","-0.49057049788888873","0.36114264704880139"
"SOH","Base","Weight","-0.43285632166666677","0.38235662072159815"
