"Task","WeightAccuracy","WeightFlash","WeightRAM","WeightEnergy","UBase","UPruned","UQuantized","Winner"
"SOC","0","0.25","0.55000000000000004","0.20000000000000001","1","0.71166455972769516","1.5636495031840512","Pruned"
"SOC","0","0.25","0.59999999999999998","0.14999999999999999","1","0.72397206882752552","1.354488829339167","Pruned"
"SOC","0","0.25","0.65000000000000002","0.10000000000000001","1","0.73627957792735588","1.1453281554942834","Pruned"
"SOC","0","0.25","0.69999999999999996","0.050000000000000003","1","0.74858708702718613","0.93616748164939967","Pruned"
"SOC","0","0.25","0.75","0","1","0.76089459612701638","0.72700680780451576","Quantized"
"SOC","0","0.29999999999999999","0","0.69999999999999996","1","0.57727954414140781","3.6400085159726965","Pruned"
"SOC","0","0.29999999999999999","0.050000000000000003","0.65000000000000002","1","0.58958705324123817","3.4308478421278132","Pruned"
"SOC","0","0.29999999999999999","0.10000000000000001","0.59999999999999998","1","0.60189456234106853","3.2216871682829291","Pruned"
"SOC","0","0.29999999999999999","0.14999999999999999","0.55000000000000004","1","0.61420207144089889","3.0125264944380459","Pruned"
"SOC","0","0.29999999999999999","0.20000000000000001","0.5","1","0.62650958054072903","2.8033658205931618","Pruned"
"SOC","0","0.29999999999999999","0.25","0.45000000000000001","1","0.63881708964055939","2.5942051467482781","Pruned"
"SOC","0","0.29999999999999999","0.29999999999999999","0.40000000000000002","1","0.65112459874038975","2.3850444729033944","Pruned"
"SOC","0","0.29999999999999999","0.34999999999999998","0.34999999999999998","1","0.66343210784022","2.1758837990585103","Pruned"
"SOC","0","0.29999999999999999","0.40000000000000002","0.29999999999999999","1","0.67573961694005036","1.9667231252136266","Pruned"
"SOC","0","0.29999999999999999","0.45000000000000001","0.25","1","0.68804712603988061","1.7575624513687427","Pruned"
"SOC","0","0.29999999999999999","0.5","0.20000000000000001","1","0.70035463513971097","1.548401777523859","Pruned"
